Track Name,Artist,Album,Popularity,Duration (minutes)
Mona Gasolina,A.R. Rahman,Lingaa (Original Motion Picture Soundtrack),49,5.3861
Athana Azhagayum,Santhosh Dhayanidhi,Innimey Ippadithaan (Original Motion Picture Soundtrack),39,3.3423166666666666
Oh...Ho...Sanam,Kamal Haasan,Dhasavathaaram-Tamil,47,5.5244333333333335
Enakke Enakkaa,Unnikrishnan,Jeans (Original Motion Picture Soundtrack),62,7.151916666666667
Anbae Anbae,Hariharan,Jeans (Original Motion Picture Soundtrack),62,5.540466666666667
Aluva Puzha,Vineeth Sreenivasan,Premam,52,3.0532666666666666
Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),70,5.8785
Illuminati,Sushin Shyam,Aavesham (Original Motion Picture Soundtrack),68,3.5420833333333333
"Marana Mass - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),63,3.6
Arjunar Villu,Sukhwinder Singh,Gilli (Original Motion Picture Soundtrack),60,4.438483333333333
Kokkorakko,Udit Narayan,Gilli (Original Motion Picture Soundtrack),61,4.570283333333333
Yethi Yethi,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),65,4.897766666666667
Mundhinam,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),71,5.689766666666666
Rasathi Unna,Ilaiyaraaja,Vaidehi Kaathirundhaal (Original Motion Picture Soundtrack),44,4.397766666666667
"Kurukku Siruthvalea ( From ""Mudhalvan"")",Hariharan,Isai Sangamam,50,6.639016666666667
"Mudhalvanae ( From ""Mudhalvan"")",S. Janaki,Hits of Janaki and Chithra,36,6.534083333333333
Achcho,Udit Narayan,Shajahaan,55,4.466733333333333
Kedakkari,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),45,5.2104333333333335
Andha Arabi Kadaloram,A.R. Rahman,Bombay,0,5.213983333333333
Usilambatti Pen Kutti Muthu,Shahul Hameed,Gentleman,0,4.668816666666666
Thirupathi Elumalai Venkatesa,Deva,Ninaivirukkum Varai (Original Motion Picture Soundtrack),50,5.46665
Armadham,Sushin Shyam,Aavesham (Original Motion Picture Soundtrack),68,2.8952333333333335
"Naakka Mukka (From ""Kadhalil Vizhundhen"")",Vijay Antony,Naakka Mukka - Best Beat Songs,27,5.053016666666666
"Single Pasanga - From ""Natpe Thunai""",Hiphop Tamizha,"Single Pasanga (From ""Natpe Thunai"")",46,3.74095
"Venaam Machan (From ""Oru Kal Oru Kannadi "")",Harris Jayaraj,"20 Biggest Hits : Harris Jayaraj, Vol. 2",50,5.239333333333334
"Vanga Machan Vanga (From ""Vantha Rajavathaan Varuven"")",P. Leela,"Vanga Machan Vanga (From ""Vantha Rajavathaan Varuven"") - Single",23,3.0375
Vaathi Coming,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),65,3.8042833333333332
Devathaiya Kandein,Harish Raghavendra,Kadhal Kondaen,59,5.176866666666666
Red Cardu,Silambarasan TR,Vantha Rajavathaan Varuven (Original Motion Picture Soundtrack),23,3.48845
"Arakkiyae (From ""Anbarivu"")",Yuvan Shankar Raja,"Arakkiyae (From ""Anbarivu"")",41,3.018483333333333
Aye Aye Aye,Hiphop Tamizha,Aambala (Original Motion Picture Soundtrack),59,3.363783333333333
Karakudi Ilavarasi,Hiphop Tamizha,Kalakalappu 2 (Original Motion Picture Soundtrack),49,4.6531
Pudichiruka Illa Pudikalaya,Hiphop Tamizha,Kalakalappu 2 (Original Motion Picture Soundtrack),48,3.9515666666666664
Naan Konjam Karuppu Thaan,Hiphop Tamizha,Kaththi Sandai (Original Motion Picture Soundtrack),45,4.60765
"Great Ji - From ""Meesaya Murukku""",Hiphop Tamizha,"Great Ji (From ""Meesaya Murukku"")",42,4.361366666666667
Ethir Neechal,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),63,4.512
